number components; knn; acc score; f1 score; roc score; time
4,0000;18,0000;0,0262;0,0292;0,0259;1,2278
4,0000;19,0000;0,0282;0,0319;0,0277;1,0261
4,0000;20,0000;0,0342;0,0379;0,0337;1,0571
4,0000;21,0000;0,0348;0,0447;0,0339;1,2239
4,0000;22,0000;0,0263;0,0291;0,0259;1,0258
4,0000;23,0000;0,0289;0,0343;0,0283;0,8656
4,0000;24,0000;0,0263;0,0297;0,0259;0,9672
4,0000;25,0000;0,0296;0,0345;0,0290;0,9640
5,0000;1,0000;0,0301;0,0524;0,0297;0,8318
5,0000;2,0000;0,0347;0,0377;0,0346;8,7120
5,0000;3,0000;0,0298;0,0306;0,0297;7,5897
5,0000;4,0000;0,0224;0,0236;0,0223;4,6827
5,0000;5,0000;0,0288;0,0295;0,0288;3,9011
5,0000;6,0000;0,0243;0,0266;0,0241;2,9847
5,0000;7,0000;0,0224;0,0248;0,0222;3,0694
5,0000;8,0000;0,0277;0,0313;0,0273;2,7294
5,0000;9,0000;0,0226;0,0271;0,0221;2,0670
5,0000;10,0000;0,0273;0,0302;0,0269;2,8385
5,0000;11,0000;0,0216;0,0227;0,0214;1,6864
5,0000;12,0000;0,0211;0,0257;0,0206;2,0257
5,0000;13,0000;0,0244;0,0265;0,0242;1,8124
5,0000;14,0000;0,0250;0,0273;0,0247;1,4822
5,0000;15,0000;0,0244;0,0282;0,0240;1,2900
5,0000;16,0000;0,0313;0,0366;0,0307;1,4617
5,0000;17,0000;0,0327;0,0386;0,0320;1,3973
5,0000;18,0000;0,0273;0,0306;0,0268;1,1643
5,0000;19,0000;0,0274;0,0305;0,0269;1,0175
5,0000;20,0000;0,0242;0,0267;0,0238;1,1581
5,0000;21,0000;0,0216;0,0228;0,0213;1,2154
5,0000;22,0000;0,0234;0,0286;0,0228;1,0360
5,0000;23,0000;0,0298;0,0320;0,0294;0,9675
5,0000;24,0000;0,0323;0,0372;0,0316;1,0568
5,0000;25,0000;0,0320;0,0348;0,0315;0,8873
6,0000;1,0000;0,0279;0,0426;0,0278;2,2034
6,0000;2,0000;0,0303;0,0351;0,0300;8,4731
6,0000;3,0000;0,0318;0,0356;0,0315;7,2203
6,0000;4,0000;0,0293;0,0347;0,0288;6,1618
6,0000;5,0000;0,0188;0,0204;0,0187;4,4805
6,0000;6,0000;0,0254;0,0265;0,0252;4,8334
6,0000;7,0000;0,0307;0,0333;0,0304;3,4547
6,0000;8,0000;0,0295;0,0300;0,0293;3,1716
6,0000;9,0000;0,0226;0,0242;0,0223;2,6876
6,0000;10,0000;0,0285;0,0308;0,0281;2,2323
6,0000;11,0000;0,0237;0,0286;0,0230;2,3187
6,0000;12,0000;0,0261;0,0305;0,0255;2,1692
6,0000;13,0000;0,0246;0,0275;0,0242;2,0983
6,0000;14,0000;0,0288;0,0332;0,0281;1,4905
6,0000;15,0000;0,0251;0,0290;0,0246;1,4265
6,0000;16,0000;0,0213;0,0245;0,0208;1,2663
6,0000;17,0000;0,0328;0,0388;0,0321;1,4717
6,0000;18,0000;0,0235;0,0280;0,0228;1,2350
6,0000;19,0000;0,0311;0,0351;0,0305;1,1180
6,0000;20,0000;0,0271;0,0301;0,0266;0,9577
6,0000;21,0000;0,0262;0,0309;0,0256;1,0436
6,0000;22,0000;0,0278;0,0322;0,0272;1,3123
6,0000;23,0000;0,0270;0,0301;0,0265;0,8913
6,0000;24,0000;0,0370;0,0437;0,0362;1,0773
6,0000;25,0000;0,0306;0,0357;0,0299;0,9271
7,0000;1,0000;0,0243;0,0423;0,0239;1,8063
7,0000;2,0000;0,0237;0,0258;0,0237;9,7219
7,0000;3,0000;0,0280;0,0298;0,0278;6,2637
7,0000;4,0000;0,0263;0,0280;0,0261;6,1346
7,0000;5,0000;0,0255;0,0284;0,0252;3,8001
7,0000;6,0000;0,0218;0,0240;0,0215;3,2071
7,0000;7,0000;0,0292;0,0340;0,0286;3,4316
7,0000;8,0000;0,0219;0,0239;0,0215;2,9605
7,0000;9,0000;0,0239;0,0262;0,0236;2,5203
7,0000;10,0000;0,0232;0,0256;0,0229;2,2512
7,0000;11,0000;0,0214;0,0243;0,0210;1,9515
7,0000;12,0000;0,0299;0,0345;0,0293;2,1446
7,0000;13,0000;0,0240;0,0269;0,0236;1,9922
7,0000;14,0000;0,0221;0,0259;0,0215;1,8230
7,0000;15,0000;0,0224;0,0255;0,0220;1,2627
7,0000;16,0000;0,0209;0,0240;0,0205;1,4205
7,0000;17,0000;0,0305;0,0361;0,0298;1,3653
7,0000;18,0000;0,0293;0,0335;0,0288;1,5162
7,0000;19,0000;0,0364;0,0416;0,0357;1,2679
7,0000;20,0000;0,0307;0,0340;0,0302;1,6556
7,0000;21,0000;0,0345;0,0401;0,0337;1,1365
7,0000;22,0000;0,0263;0,0295;0,0259;1,2984
7,0000;23,0000;0,0314;0,0360;0,0308;1,3849
7,0000;24,0000;0,0303;0,0349;0,0296;1,0690
7,0000;25,0000;0,0236;0,0243;0,0233;1,0956
8,0000;1,0000;0,0305;0,0510;0,0302;3,2097
8,0000;2,0000;0,0320;0,0340;0,0319;8,1346
8,0000;3,0000;0,0363;0,0387;0,0360;6,6759
8,0000;4,0000;0,0256;0,0283;0,0254;5,5632
8,0000;5,0000;0,0326;0,0392;0,0320;4,5604
8,0000;6,0000;0,0274;0,0313;0,0270;3,8738
8,0000;7,0000;0,0356;0,0401;0,0350;3,3138
8,0000;8,0000;0,0347;0,0406;0,0339;2,3748
8,0000;9,0000;0,0351;0,0401;0,0345;3,0305
8,0000;10,0000;0,0292;0,0342;0,0287;1,9906
8,0000;11,0000;0,0351;0,0394;0,0346;1,8701
