number components; knn; acc; f1 score; roc score; time
19,0000;14,0000;0,7732;0,7848;0,7723;6,1320
19,0000;15,0000;0,7685;0,7809;0,7675;6,0096
19,0000;16,0000;0,7671;0,7777;0,7663;5,7811
19,0000;17,0000;0,7799;0,7929;0,7789;5,4250
19,0000;18,0000;0,7792;0,7918;0,7782;4,9687
19,0000;19,0000;0,7736;0,7845;0,7727;5,0587
19,0000;20,0000;0,7701;0,7802;0,7694;4,7686
19,0000;21,0000;0,7858;0,8001;0,7846;4,4599
19,0000;22,0000;0,7804;0,7925;0,7794;4,3368
19,0000;23,0000;0,7837;0,7964;0,7826;4,2234
19,0000;24,0000;0,7836;0,7976;0,7824;4,3602
19,0000;25,0000;0,7748;0,7860;0,7739;3,7910
20,0000;1,0000;0,6763;0,6194;0,6798;30,5575
20,0000;2,0000;0,7650;0,7743;0,7644;29,4731
20,0000;3,0000;0,7500;0,7572;0,7496;21,5689
20,0000;4,0000;0,7331;0,7436;0,7325;17,4412
20,0000;5,0000;0,7463;0,7581;0,7455;15,5291
20,0000;6,0000;0,7514;0,7649;0,7504;12,3667
20,0000;7,0000;0,7556;0,7686;0,7547;10,4923
20,0000;8,0000;0,7624;0,7775;0,7612;10,1637
20,0000;9,0000;0,7561;0,7691;0,7552;8,4558
20,0000;10,0000;0,7673;0,7809;0,7662;8,5952
20,0000;11,0000;0,7694;0,7820;0,7684;7,1228
20,0000;12,0000;0,7789;0,7932;0,7777;6,8242
20,0000;13,0000;0,7686;0,7809;0,7676;6,5118
20,0000;14,0000;0,7713;0,7831;0,7704;6,5478
20,0000;15,0000;0,7711;0,7817;0,7703;5,7529
20,0000;16,0000;0,7779;0,7902;0,7769;5,3053
20,0000;17,0000;0,7725;0,7831;0,7717;5,2550
20,0000;18,0000;0,7847;0,7971;0,7836;5,2954
20,0000;19,0000;0,7753;0,7875;0,7744;4,8206
20,0000;20,0000;0,7811;0,7936;0,7800;4,5308
20,0000;21,0000;0,7722;0,7831;0,7714;4,2935
20,0000;22,0000;0,7745;0,7860;0,7736;4,5224
20,0000;23,0000;0,7831;0,7957;0,7820;4,2110
20,0000;24,0000;0,7819;0,7948;0,7808;3,8339
20,0000;25,0000;0,7764;0,7891;0,7754;3,8240
21,0000;1,0000;0,6547;0,5935;0,6582;35,4964
21,0000;2,0000;0,7438;0,7525;0,7433;33,7244
21,0000;3,0000;0,7531;0,7601;0,7528;26,7885
21,0000;4,0000;0,7348;0,7487;0,7339;19,5998
21,0000;5,0000;0,7371;0,7501;0,7362;17,0572
21,0000;6,0000;0,7426;0,7571;0,7416;15,0075
21,0000;7,0000;0,7473;0,7603;0,7464;11,6209
21,0000;8,0000;0,7561;0,7694;0,7551;9,8930
21,0000;9,0000;0,7643;0,7793;0,7631;9,3599
21,0000;10,0000;0,7666;0,7807;0,7655;7,8625
21,0000;11,0000;0,7616;0,7723;0,7609;7,5129
21,0000;12,0000;0,7770;0,7906;0,7759;6,7583
21,0000;13,0000;0,7768;0,7902;0,7757;6,3135
21,0000;14,0000;0,7793;0,7928;0,7782;6,1380
21,0000;15,0000;0,7734;0,7843;0,7726;5,5422
21,0000;16,0000;0,7751;0,7860;0,7743;5,3385
21,0000;17,0000;0,7783;0,7894;0,7774;5,3572
21,0000;18,0000;0,7817;0,7919;0,7809;4,6317
21,0000;19,0000;0,7793;0,7914;0,7783;4,9060
21,0000;20,0000;0,7777;0,7907;0,7766;4,9158
21,0000;21,0000;0,7727;0,7851;0,7717;4,4839
21,0000;22,0000;0,7796;0,7929;0,7785;4,1167
21,0000;23,0000;0,7739;0,7851;0,7730;4,0657
21,0000;24,0000;0,7700;0,7824;0,7690;4,2807
21,0000;25,0000;0,7678;0,7789;0,7670;3,7447
22,0000;1,0000;0,6645;0,6120;0,6677;29,6648
22,0000;2,0000;0,7380;0,7451;0,7377;29,7402
22,0000;3,0000;0,7531;0,7625;0,7526;21,1961
22,0000;4,0000;0,7536;0,7661;0,7528;16,5732
22,0000;5,0000;0,7445;0,7570;0,7436;14,2963
22,0000;6,0000;0,7479;0,7637;0,7467;13,0536
22,0000;7,0000;0,7551;0,7702;0,7539;10,7440
22,0000;8,0000;0,7574;0,7729;0,7561;9,4563
22,0000;9,0000;0,7579;0,7724;0,7568;9,0659
22,0000;10,0000;0,7766;0,7891;0,7755;7,5585
22,0000;11,0000;0,7801;0,7920;0,7792;7,5813
22,0000;12,0000;0,7774;0,7895;0,7764;7,1686
22,0000;13,0000;0,7658;0,7777;0,7650;6,2992
22,0000;14,0000;0,7748;0,7876;0,7738;6,9754
22,0000;15,0000;0,7752;0,7875;0,7742;5,6455
22,0000;16,0000;0,7717;0,7838;0,7707;5,8175
22,0000;17,0000;0,7743;0,7873;0,7732;5,3332
22,0000;18,0000;0,7779;0,7908;0,7768;5,1145
22,0000;19,0000;0,7764;0,7900;0,7752;4,7687
22,0000;20,0000;0,7789;0,7920;0,7778;4,6290
22,0000;21,0000;0,7742;0,7864;0,7733;4,9545
22,0000;22,0000;0,7855;0,8000;0,7843;4,3084
22,0000;23,0000;0,7756;0,7878;0,7747;4,2774
22,0000;24,0000;0,7790;0,7914;0,7780;4,1062
22,0000;25,0000;0,7805;0,7927;0,7795;3,8059
23,0000;1,0000;0,6628;0,6024;0,6663;29,8781
23,0000;2,0000;0,7334;0,7397;0,7331;29,6797
23,0000;3,0000;0,7458;0,7547;0,7453;24,3687
23,0000;4,0000;0,7615;0,7744;0,7606;17,5694
23,0000;5,0000;0,7551;0,7673;0,7542;14,5012
23,0000;6,0000;0,7640;0,7772;0,7630;12,6240
23,0000;7,0000;0,7663;0,7791;0,7652;10,8505
23,0000;8,0000;0,7658;0,7798;0,7647;9,6883
23,0000;9,0000;0,7688;0,7827;0,7677;8,5546
23,0000;10,0000;0,7750;0,7874;0,7740;7,3987
23,0000;11,0000;0,7761;0,7888;0,7750;7,2774
23,0000;12,0000;0,7699;0,7801;0,7691;6,9836
23,0000;13,0000;0,7691;0,7799;0,7683;6,3489
23,0000;14,0000;0,7766;0,7878;0,7758;5,8978
23,0000;15,0000;0,7767;0,7900;0,7756;5,4323
23,0000;16,0000;0,7712;0,7832;0,7703;5,3253
23,0000;17,0000;0,7701;0,7839;0,7690;4,8440
23,0000;18,0000;0,7749;0,7893;0,7736;4,9681
23,0000;19,0000;0,7832;0,7988;0,7818;5,1027
23,0000;20,0000;0,7748;0,7890;0,7736;4,4456
23,0000;21,0000;0,7777;0,7920;0,7765;4,4139
23,0000;22,0000;0,7796;0,7926;0,7785;4,3972
23,0000;23,0000;0,7772;0,7903;0,7761;4,0783
23,0000;24,0000;0,7755;0,7869;0,7746;4,1319
23,0000;25,0000;0,7769;0,7893;0,7759;3,9282
24,0000;1,0000;0,6655;0,6144;0,6687;30,6344
24,0000;2,0000;0,7295;0,7392;0,7290;28,4158
24,0000;3,0000;0,7512;0,7606;0,7507;22,7932
24,0000;4,0000;0,7690;0,7807;0,7681;18,4618
24,0000;5,0000;0,7586;0,7716;0,7576;13,4813
24,0000;6,0000;0,7621;0,7765;0,7610;12,9740
24,0000;7,0000;0,7566;0,7700;0,7556;11,1031
24,0000;8,0000;0,7619;0,7751;0,7609;9,8480
24,0000;9,0000;0,7655;0,7800;0,7644;8,8363
24,0000;10,0000;0,7654;0,7795;0,7642;8,3350
24,0000;11,0000;0,7700;0,7832;0,7689;7,6983
24,0000;12,0000;0,7735;0,7872;0,7724;6,9669
24,0000;13,0000;0,7673;0,7795;0,7663;6,4975
24,0000;14,0000;0,7659;0,7783;0,7650;5,6957
24,0000;15,0000;0,7743;0,7878;0,7732;5,8141
24,0000;16,0000;0,7655;0,7785;0,7644;5,6143
24,0000;17,0000;0,7736;0,7884;0,7724;5,2290
24,0000;18,0000;0,7686;0,7826;0,7674;4,9500
24,0000;19,0000;0,7748;0,7876;0,7738;4,7868
24,0000;20,0000;0,7759;0,7891;0,7748;4,4441
24,0000;21,0000;0,7801;0,7949;0,7789;4,2275
24,0000;22,0000;0,7799;0,7942;0,7787;3,8948
24,0000;23,0000;0,7647;0,7757;0,7638;4,0981
24,0000;24,0000;0,7678;0,7814;0,7667;4,4273
24,0000;25,0000;0,7685;0,7798;0,7675;4,0096
25,0000;1,0000;0,6516;0,5986;0,6548;29,4593
25,0000;2,0000;0,7399;0,7467;0,7396;29,8096
25,0000;3,0000;0,7588;0,7670;0,7583;23,1175
25,0000;4,0000;0,7569;0,7686;0,7561;16,5404
25,0000;5,0000;0,7555;0,7697;0,7544;14,8488
25,0000;6,0000;0,7573;0,7691;0,7564;12,1382
25,0000;7,0000;0,7578;0,7734;0,7566;11,0577
25,0000;8,0000;0,7641;0,7797;0,7629;9,3405
25,0000;9,0000;0,7707;0,7857;0,7695;8,7192
25,0000;10,0000;0,7695;0,7825;0,7685;7,6840
25,0000;11,0000;0,7750;0,7881;0,7739;7,2094
25,0000;12,0000;0,7607;0,7717;0,7599;6,5394
25,0000;13,0000;0,7634;0,7761;0,7625;6,0592
25,0000;14,0000;0,7682;0,7803;0,7673;5,3873
25,0000;15,0000;0,7610;0,7721;0,7602;5,8787
25,0000;16,0000;0,7693;0,7806;0,7684;5,5285
25,0000;17,0000;0,7701;0,7809;0,7693;5,2629
25,0000;18,0000;0,7751;0,7877;0,7741;4,6939
25,0000;19,0000;0,7750;0,7869;0,7741;4,8644
25,0000;20,0000;0,7823;0,7954;0,7811;4,5126
25,0000;21,0000;0,7738;0,7850;0,7729;4,2826
25,0000;22,0000;0,7775;0,7914;0,7763;4,0967
25,0000;23,0000;0,7744;0,7872;0,7733;4,0643
25,0000;24,0000;0,7706;0,7829;0,7696;3,8504
25,0000;25,0000;0,7672;0,7798;0,7662;3,9009

