number components; knn; acc; f1 score; roc score; time
4,0000;18,0000;0,7736;0,7921;0,7719;4,3888
4,0000;19,0000;0,7758;0,7950;0,7741;4,1627
4,0000;20,0000;0,7701;0,7882;0,7685;4,1936
4,0000;21,0000;0,7669;0,7857;0,7652;4,1355
4,0000;22,0000;0,7665;0,7839;0,7650;3,8041
4,0000;23,0000;0,7685;0,7863;0,7670;3,6280
4,0000;24,0000;0,7747;0,7937;0,7730;3,8124
4,0000;25,0000;0,7718;0,7894;0,7702;3,5998
5,0000;1,0000;0,6380;0,5409;0,6429;24,8002
5,0000;2,0000;0,7272;0,7310;0,7271;27,5455
5,0000;3,0000;0,7398;0,7491;0,7393;21,5766
5,0000;4,0000;0,7662;0,7761;0,7656;14,8994
5,0000;5,0000;0,7698;0,7803;0,7691;13,4309
5,0000;6,0000;0,7830;0,7940;0,7821;10,8475
5,0000;7,0000;0,7773;0,7906;0,7762;9,8487
5,0000;8,0000;0,7774;0,7900;0,7764;8,9205
5,0000;9,0000;0,7846;0,7982;0,7834;7,7216
5,0000;10,0000;0,7789;0,7931;0,7777;7,5041
5,0000;11,0000;0,7845;0,8019;0,7829;6,8573
5,0000;12,0000;0,7882;0,8025;0,7870;6,6731
5,0000;13,0000;0,7874;0,8032;0,7860;5,8100
5,0000;14,0000;0,7871;0,8041;0,7855;5,4751
5,0000;15,0000;0,7902;0,8065;0,7887;5,4754
5,0000;16,0000;0,7839;0,7995;0,7824;4,7772
5,0000;17,0000;0,7816;0,7958;0,7803;4,7880
5,0000;18,0000;0,7861;0,8027;0,7845;4,6134
5,0000;19,0000;0,7920;0,8072;0,7906;4,1561
5,0000;20,0000;0,7951;0,8113;0,7935;4,0758
5,0000;21,0000;0,7961;0,8134;0,7944;3,9785
5,0000;22,0000;0,7807;0,7945;0,7794;3,7624
5,0000;23,0000;0,7877;0,8026;0,7864;3,8151
5,0000;24,0000;0,7874;0,8035;0,7859;3,7068
5,0000;25,0000;0,7924;0,8089;0,7908;3,5994
6,0000;1,0000;0,6280;0,5242;0,6330;25,5404
6,0000;2,0000;0,7344;0,7355;0,7346;28,4663
6,0000;3,0000;0,7539;0,7634;0,7534;21,4555
6,0000;4,0000;0,7627;0,7737;0,7619;17,4820
6,0000;5,0000;0,7812;0,7940;0,7802;13,1053
6,0000;6,0000;0,7755;0,7896;0,7744;11,4581
6,0000;7,0000;0,7742;0,7886;0,7730;10,6210
6,0000;8,0000;0,7842;0,7996;0,7829;8,7972
6,0000;9,0000;0,7839;0,7978;0,7827;8,2774
6,0000;10,0000;0,7928;0,8081;0,7914;7,2045
6,0000;11,0000;0,7874;0,8029;0,7859;7,1002
6,0000;12,0000;0,7868;0,8016;0,7854;6,1344
6,0000;13,0000;0,7947;0,8117;0,7931;5,8461
6,0000;14,0000;0,7867;0,8017;0,7853;5,5911
6,0000;15,0000;0,7930;0,8096;0,7914;5,3031
6,0000;16,0000;0,7945;0,8103;0,7930;4,7423
6,0000;17,0000;0,7982;0,8144;0,7966;4,9312
6,0000;18,0000;0,7901;0,8071;0,7885;4,6876
6,0000;19,0000;0,7931;0,8091;0,7915;4,1287
6,0000;20,0000;0,7977;0,8161;0,7957;4,2785
6,0000;21,0000;0,7934;0,8109;0,7917;3,7391
6,0000;22,0000;0,7948;0,8115;0,7931;4,0694
6,0000;23,0000;0,8023;0,8187;0,8006;3,6446
6,0000;24,0000;0,7933;0,8091;0,7916;3,5676
6,0000;25,0000;0,7988;0,8164;0,7969;3,4869
7,0000;1,0000;0,6483;0,5535;0,6532;26,5291
7,0000;2,0000;0,7557;0,7599;0,7556;29,8675
7,0000;3,0000;0,7797;0,7894;0,7790;19,6927
7,0000;4,0000;0,7744;0,7868;0,7734;16,4067
7,0000;5,0000;0,7942;0,8057;0,7932;13,9880
7,0000;6,0000;0,7989;0,8117;0,7977;12,0766
7,0000;7,0000;0,7971;0,8111;0,7957;11,0363
7,0000;8,0000;0,7952;0,8100;0,7938;8,7842
7,0000;9,0000;0,7955;0,8110;0,7940;8,5332
7,0000;10,0000;0,7961;0,8120;0,7946;7,8474
7,0000;11,0000;0,7996;0,8164;0,7980;7,0522
7,0000;12,0000;0,7878;0,8022;0,7865;6,5585
7,0000;13,0000;0,7962;0,8118;0,7947;6,4140
7,0000;14,0000;0,8034;0,8200;0,8016;6,2763
7,0000;15,0000;0,8018;0,8185;0,8000;5,5515
7,0000;16,0000;0,8053;0,8204;0,8038;5,1980
7,0000;17,0000;0,7955;0,8096;0,7942;5,0970
7,0000;18,0000;0,8057;0,8217;0,8040;5,0238
7,0000;19,0000;0,8006;0,8152;0,7990;4,5374
7,0000;20,0000;0,8000;0,8153;0,7984;5,2966
7,0000;21,0000;0,7993;0,8141;0,7977;4,2909
7,0000;22,0000;0,8055;0,8213;0,8039;4,5777
7,0000;23,0000;0,8019;0,8182;0,8002;4,2220
7,0000;24,0000;0,7984;0,8142;0,7968;4,1029
7,0000;25,0000;0,8088;0,8263;0,8069;3,6627
8,0000;1,0000;0,6391;0,5509;0,6437;27,8537
8,0000;2,0000;0,7357;0,7407;0,7356;25,9455
8,0000;3,0000;0,7527;0,7615;0,7522;20,3019
8,0000;4,0000;0,7681;0,7792;0,7673;16,1454
8,0000;5,0000;0,7636;0,7743;0,7628;12,8921
8,0000;6,0000;0,7839;0,7963;0,7828;12,2079
8,0000;7,0000;0,7844;0,7979;0,7832;10,3572
8,0000;8,0000;0,7831;0,7947;0,7820;9,1332
8,0000;9,0000;0,7712;0,7838;0,7702;8,5055
8,0000;10,0000;0,7769;0,7911;0,7757;7,3244
8,0000;11,0000;0,7809;0,7959;0,7796;6,9362
8,0000;12,0000;0,7816;0,7971;0,7802;6,3408
8,0000;13,0000;0,7928;0,8092;0,7913;5,8692
8,0000;14,0000;0,7858;0,8015;0,7844;5,3934
8,0000;15,0000;0,7885;0,8029;0,7871;4,7657
8,0000;16,0000;0,7890;0,8044;0,7875;4,8419
8,0000;17,0000;0,7871;0,8014;0,7857;5,0198
8,0000;18,0000;0,7945;0,8096;0,7930;4,6532
8,0000;19,0000;0,7942;0,8101;0,7926;4,4864
8,0000;20,0000;0,7942;0,8106;0,7925;4,0331
