1;1;0.4968;0.0233;0.2843;0.0391;0.5035;0.0234;24.2512;1.1371
1;2;0.5201;0.0277;0.4715;0.0411;0.5224;0.0277;28.5136;8.0191
1;3;0.5253;0.0283;0.514;0.0394;0.526;0.0282;22.382;8.5487
1;4;0.524;0.0274;0.5243;0.0401;0.5242;0.0272;16.321;5.138
1;5;0.5255;0.0273;0.5393;0.0338;0.525;0.0274;12.9375;4.3588
1;6;0.5325;0.0308;0.5409;0.0324;0.5323;0.0309;9.7861;2.8604
1;7;0.5274;0.0289;0.5385;0.0364;0.5271;0.0287;9.2922;2.7702
1;8;0.5341;0.0322;0.5446;0.0345;0.5338;0.0324;8.6515;2.6034
1;9;0.5428;0.0329;0.5506;0.0385;0.5426;0.0329;7.3819;1.7716
1;10;0.5294;0.0365;0.5422;0.0404;0.529;0.0365;7.3929;2.3311
1;11;0.5477;0.0285;0.5645;0.0337;0.547;0.0284;7.046;2.7661
1;12;0.5429;0.0323;0.5543;0.0359;0.5426;0.0323;7.1483;2.0339
1;13;0.5433;0.0257;0.5517;0.0349;0.5431;0.0256;5.6128;1.4957
1;14;0.5492;0.0301;0.5671;0.0339;0.5485;0.03;5.3854;1.4749
1;15;0.5382;0.0294;0.5479;0.0357;0.538;0.0294;4.817;1.1645
1;16;0.5328;0.0292;0.5466;0.0355;0.5323;0.0291;4.5466;1.1893
1;17;0.537;0.0326;0.55;0.0403;0.5366;0.0325;4.8624;1.2648
1;18;0.5347;0.0331;0.5496;0.0367;0.5342;0.0331;4.1825;1.1294
1;19;0.5417;0.0308;0.5551;0.0349;0.5412;0.0309;4.0336;1.1715
1;20;0.5411;0.0299;0.5523;0.0317;0.5408;0.0302;3.8704;1.0585
1;21;0.536;0.0389;0.5492;0.044;0.5356;0.0389;4.1144;1.1805
1;22;0.5407;0.0308;0.5591;0.0326;0.54;0.0309;3.9962;0.9772
1;23;0.5374;0.0318;0.5551;0.0362;0.5367;0.0318;3.9598;1.0859
1;24;0.5282;0.0311;0.5451;0.0361;0.5276;0.0311;3.8801;1.0057
1;25;0.5278;0.033;0.5437;0.036;0.5273;0.033;3.6224;1.1837
2;1;0.5653;0.0192;0.4174;0.0366;0.5711;0.0191;25.8078;2.824
2;2;0.6169;0.0341;0.6216;0.0472;0.6168;0.0335;28.9961;10.7899
2;3;0.6228;0.0312;0.6301;0.0355;0.6227;0.0312;18.5486;5.0008
2;4;0.6241;0.0325;0.6341;0.0409;0.6237;0.0322;14.1011;3.9295
2;5;0.6346;0.0317;0.6473;0.0367;0.6341;0.0315;12.2622;4.5512
2;6;0.6323;0.0322;0.6413;0.0383;0.632;0.0319;11.3071;3.9347
2;7;0.6351;0.0321;0.6504;0.0381;0.6344;0.0318;10.5224;2.8256
2;8;0.6367;0.0312;0.6483;0.0334;0.6363;0.0312;8.5029;2.4605
2;9;0.6381;0.0294;0.651;0.0363;0.6375;0.0291;7.6393;2.1307
2;10;0.6423;0.0248;0.6575;0.0288;0.6416;0.0247;7.5968;2.2935
2;11;0.6493;0.023;0.6621;0.027;0.6488;0.0229;6.9752;2.6491
2;12;0.6507;0.0265;0.6622;0.0291;0.6503;0.0264;5.9016;1.7465
2;13;0.6502;0.0327;0.6662;0.0386;0.6494;0.0324;6.5256;2.2515
