0.7956;0.8133;0.7939;10.5700
0.8467;0.8552;0.8458;13.4580
0.7737;0.7597;0.7754;14.4650
0.8212;0.8269;0.8208;15.0970
0.8102;0.8116;0.8104;8.7080
0.8248;0.8261;0.8251;10.7810
0.7628;0.7766;0.7618;9.7480
0.8029;0.7970;0.8039;8.9640
0.8029;0.8058;0.8030;10.5230
0.8102;0.8289;0.8082;12.6290
0.7555;0.7433;0.7569;12.5830
0.8066;0.8059;0.8070;10.9330
0.8139;0.8235;0.8131;14.2840
0.8175;0.8214;0.8174;13.5820
0.8212;0.8393;0.8191;13.9340
0.8431;0.8502;0.8424;10.0160
0.8248;0.8310;0.8244;10.5630
0.7701;0.7549;0.7718;19.9950
0.8102;0.8102;0.8106;13.9600
0.8139;0.8223;0.8132;12.7850
0.8066;0.8087;0.8067;12.0620
0.8358;0.8339;0.8364;10.6133
0.8139;0.8145;0.8142;15.5670
0.8431;0.8481;0.8428;10.2150
0.8212;0.8244;0.8212;9.4330
0.8321;0.8435;0.8309;16.1340
0.8029;0.8015;0.8035;13.0880
0.7737;0.7905;0.7723;15.9400
0.8029;0.8029;0.8033;11.7500
0.7883;0.7820;0.7893;15.2200
0.8212;0.8269;0.8208;10.8430
0.8175;0.8201;0.8176;8.7710
0.8029;0.8015;0.8035;13.6530
0.7847;0.7930;0.7842;11.9260
0.8139;0.8104;0.8147;10.8940
0.8358;0.8399;0.8356;9.6890
0.7847;0.8000;0.7834;8.0510
0.8212;0.8372;0.8194;11.9600
0.8102;0.8267;0.8085;8.7790
0.8139;0.8283;0.8124;8.5520
0.7518;0.7424;0.7530;10.4020
0.8394;0.8493;0.8384;10.3460
0.7920;0.7942;0.7921;13.6160
0.8066;0.8015;0.8075;12.1350
0.7737;0.7652;0.7749;8.7638
0.7737;0.7847;0.7730;10.4140
0.8248;0.8322;0.8243;8.6640
0.8212;0.8178;0.8220;8.7427
0.8321;0.8369;0.8319;11.3402
0.8285;0.8374;0.8277;8.9930
