5,0000;20,0000;0,0242;0,0270;0,0240;5,9971
6,0000;20,0000;0,0263;0,0302;0,0261;3,6187
7,0000;20,0000;0,0261;0,0303;0,0258;4,1246
8,0000;20,0000;0,0268;0,0319;0,0264;2,4653
9,0000;20,0000;0,0341;0,0397;0,0338;2,9854
10,0000;20,0000;0,0342;0,0376;0,0339;2,7087
11,0000;20,0000;0,0330;0,0380;0,0326;2,7275
12,0000;20,0000;0,0344;0,0404;0,0339;2,9834
13,0000;20,0000;0,0321;0,0386;0,0315;2,3696
14,0000;20,0000;0,0312;0,0361;0,0307;2,2660
15,0000;20,0000;0,0367;0,0432;0,0362;1,9255
16,0000;20,0000;0,0338;0,0391;0,0334;1,4303
17,0000;20,0000;0,0380;0,0468;0,0373;1,6207
18,0000;20,0000;0,0350;0,0418;0,0345;1,2843
19,0000;20,0000;0,0336;0,0403;0,0331;1,7765
20,0000;20,0000;0,0348;0,0415;0,0343;1,3854
21,0000;20,0000;0,0348;0,0405;0,0344;1,5583
22,0000;20,0000;0,0333;0,0412;0,0327;1,4424
