0.8175;0.8377;0.8152;6.2760
0.7628;0.7797;0.7615;8.6750
0.7007;0.7113;0.7003;5.9360
0.7628;0.7636;0.7631;8.8050
0.7591;0.7609;0.7593;7.0640
0.7993;0.8110;0.7983;5.8743
0.7664;0.7681;0.7666;9.3350
0.7336;0.7286;0.7343;7.9940
0.7810;0.7887;0.7806;7.7430
0.6715;0.6591;0.6727;6.5440
0.7810;0.7931;0.7801;4.8030
0.7664;0.7664;0.7668;7.0150
0.7591;0.7500;0.7603;7.4570
0.7993;0.8057;0.7989;7.9030
0.6971;0.6844;0.6983;10.5880
0.7701;0.7709;0.7704;5.7110
0.8066;0.8166;0.8058;9.4980
0.7445;0.7482;0.7446;8.5830
0.7044;0.7011;0.7050;7.2430
0.7372;0.7333;0.7379;5.9220
0.7628;0.7811;0.7613;7.2040
0.7445;0.7328;0.7458;9.0310
0.8029;0.8125;0.8022;5.8390
0.7993;0.8185;0.7973;5.6470
0.8029;0.8125;0.8022;7.4920
0.7336;0.7384;0.7335;6.0350
0.7956;0.8056;0.7949;7.2020
0.7336;0.7115;0.7356;8.8670
0.7518;0.7554;0.7519;8.8930
0.7591;0.7626;0.7592;5.4410
0.7153;0.7090;0.7162;6.1380
0.8248;0.8356;0.8238;6.8160
0.6861;0.6560;0.6884;6.5990
0.8139;0.8360;0.8113;4.2840
0.7482;0.7544;0.7480;5.5640
0.7591;0.7537;0.7600;6.3860
0.7482;0.7435;0.7489;10.5330
0.7920;0.8081;0.7905;5.5750
0.8066;0.8203;0.8053;7.0170
0.7664;0.7714;0.7663;7.0050
0.7555;0.7682;0.7546;4.1730
0.7445;0.7552;0.7439;6.6490
0.7628;0.7619;0.7632;7.1140
0.7518;0.7589;0.7515;8.0500
0.7883;0.7986;0.7876;6.2690
0.7591;0.7643;0.7590;7.2720
0.7555;0.7649;0.7550;4.7180
0.7810;0.7744;0.7820;7.6990
0.6898;0.6586;0.6921;8.0030
0.7883;0.7958;0.7879;7.1790
