5,0000;5,0000;0,8029;0,8151;0,8019;25,5210
5,0000;5,0000;0,7883;0,7899;0,7885;25,5680
5,0000;5,0000;0,7482;0,7454;0,7488;19,6240
5,0000;5,0000;0,7628;0,7653;0,7629;17,1050
5,0000;5,0000;0,7993;0,7909;0,8005;21,6180
5,0000;5,0000;0,7956;0,8069;0,7947;14,9610
5,0000;5,0000;0,8285;0,8291;0,8288;21,9760
5,0000;5,0000;0,8175;0,8227;0,8173;27,3870
5,0000;5,0000;0,8102;0,8219;0,8092;19,6360
5,0000;5,0000;0,7847;0,7885;0,7846;22,6100
5,0000;5,0000;0,7737;0,7770;0,7738;21,3700
5,0000;5,0000;0,7883;0,7943;0,7881;21,9380
5,0000;5,0000;0,7883;0,7929;0,7882;14,5920
5,0000;5,0000;0,7810;0,7674;0,7827;20,2080
5,0000;5,0000;0,8212;0,8293;0,8205;16,2740
5,0000;5,0000;0,8102;0,8015;0,8116;20,4390
5,0000;5,0000;0,7701;0,7774;0,7697;20,3180
5,0000;5,0000;0,7920;0,7942;0,7921;17,6270
5,0000;5,0000;0,8285;0,8385;0,8275;14,6760
5,0000;5,0000;0,8212;0,8123;0,8226;20,4930
5,0000;5,0000;0,8248;0,8273;0,8249;24,9700
5,0000;5,0000;0,7847;0,7900;0,7845;28,6920
5,0000;5,0000;0,8102;0,8169;0,8098;19,8929
5,0000;5,0000;0,7956;0,8056;0,7949;29,2480
5,0000;5,0000;0,7664;0,7647;0,7670;26,2849
5,0000;5,0000;0,8066;0,8087;0,8067;24,2580
5,0000;5,0000;0,8102;0,8116;0,8104;18,6520
5,0000;5,0000;0,7299;0,7376;0,7296;13,6040
5,0000;5,0000;0,7883;0,8041;0,7869;22,7946
5,0000;5,0000;0,7518;0,7536;0,7520;22,1766
5,0000;5,0000;0,7847;0,7839;0,7851;17,1740
5,0000;5,0000;0,8102;0,8182;0,8096;16,2120
5,0000;5,0000;0,8029;0,7985;0,8038;20,7300
5,0000;5,0000;0,7810;0,7872;0,7808;29,8220
5,0000;5,0000;0,8139;0,8159;0,8140;15,6730
5,0000;5,0000;0,7920;0,8094;0,7904;20,4590
5,0000;5,0000;0,7956;0,8000;0,7955;16,7450
5,0000;5,0000;0,7993;0,7940;0,8002;28,3310
5,0000;5,0000;0,7555;0,7616;0,7553;17,2860
5,0000;5,0000;0,8285;0,8226;0,8296;13,3930
5,0000;5,0000;0,8175;0,8201;0,8176;29,8160
5,0000;5,0000;0,7701;0,7586;0,7715;18,5480
5,0000;5,0000;0,8029;0,8029;0,8033;17,3970
5,0000;5,0000;0,7847;0,7855;0,7850;15,1180
