knn,comp,acc,f_score,roc,time
3,1,0.5182,0.5182,0.5185,14.735
3,1,0.5,0.5193,0.4994,15.6226
3,1,0.6168,0.6125,0.6173,15.893
3,1,0.573,0.5923,0.5722,39.8159
3,1,0.5693,0.5662,0.5698,19.7836
3,1,0.6277,0.6434,0.6271,14.081
3,1,0.5803,0.5455,0.5822,17.311
3,1,0.5584,0.5328,0.5599,33.269
3,1,0.5876,0.6169,0.5862,22.36
3,1,0.5839,0.5746,0.5847,31.676
3,1,0.5657,0.5735,0.5656,16.1102
3,1,0.6095,0.6421,0.6078,22.6739
4,1,0.6058,0.6301,0.6047,8.023
4,1,0.6496,0.6596,0.6493,10.0229
4,1,0.5,0.5125,0.4997,15.511
4,1,0.562,0.6,0.5602,23.7467
4,1,0.5766,0.5972,0.5758,24.585
4,1,0.6241,0.6171,0.6248,16.3709
4,1,0.5401,0.55,0.5399,9.593
4,1,0.562,0.5833,0.5612,10.275
4,1,0.5474,0.5338,0.5483,11.657
4,1,0.5985,0.6127,0.598,19.4581
4,1,0.5474,0.5782,0.5461,7.436
4,1,0.6022,0.6093,0.6021,12.8056
4,1,0.5766,0.5672,0.5774,15.3819
4,1,0.5401,0.5655,0.5391,30.582
4,1,0.5182,0.5286,0.518,11.139
4,1,0.5803,0.6075,0.5791,12.04
4,1,0.6131,0.6395,0.6118,15.701
4,1,0.562,0.562,0.5623,10.7389
4,1,0.5985,0.6181,0.5977,12.178
4,1,0.5693,0.5959,0.5682,12.618
4,1,0.6131,0.6395,0.6118,24.934
4,1,0.573,0.5618,0.5738,9.6641
4,1,0.573,0.5979,0.5719,19.939
4,1,0.6095,0.6219,0.6091,12.369
4,1,0.6131,0.6319,0.6123,10.025
4,1,0.5255,0.529,0.5256,20.053
4,1,0.5839,0.5778,0.5845,14.71
4,1,0.6204,0.6364,0.6198,12.8311
4,1,0.5985,0.5956,0.599,14.377
4,1,0.5657,0.5882,0.5648,19.457
4,1,0.5693,0.5786,0.5691,8.474
4,1,0.5657,0.5673,0.5659,21.249
4,1,0.5766,0.5857,0.5764,13.591
4,1,0.5949,0.6105,0.5943,10.863
4,1,0.5073,0.5659,0.5046,10.185
4,1,0.5657,0.537,0.5673,33.0293
4,1,0.6058,0.64,0.6041,7.638
4,1,0.5985,0.5833,0.5996,21.259
4,1,0.6058,0.64,0.6041,11.738
4,1,0.5474,0.5694,0.5466,23.1447
4,1,0.5401,0.5655,0.5391,10.144
4,1,0.646,0.6712,0.6446,13.298
