number components; knn; acc score; f1 score; roc score; time
4,0000;18,0000;0,8004;0,8081;0,7998;4,6244
4,0000;19,0000;0,7920;0,8009;0,7914;4,5116
4,0000;20,0000;0,7922;0,7996;0,7917;3,8688
4,0000;21,0000;0,7904;0,7985;0,7899;3,9678
4,0000;22,0000;0,7857;0,7950;0,7851;3,9976
4,0000;23,0000;0,7815;0,7889;0,7811;3,5866
4,0000;24,0000;0,7839;0,7907;0,7836;3,6971
4,0000;25,0000;0,7852;0,7934;0,7847;3,5122
5,0000;1,0000;0,6481;0,5346;0,6537;25,3136
5,0000;2,0000;0,7812;0,7803;0,7816;28,5820
5,0000;3,0000;0,8012;0,8038;0,8012;20,9648
5,0000;4,0000;0,8166;0,8190;0,8167;16,2309
5,0000;5,0000;0,8236;0,8276;0,8235;12,2303
5,0000;6,0000;0,8200;0,8253;0,8197;11,3565
5,0000;7,0000;0,8255;0,8313;0,8252;9,6953
5,0000;8,0000;0,8231;0,8302;0,8226;8,0423
5,0000;9,0000;0,8247;0,8301;0,8244;7,1929
5,0000;10,0000;0,8409;0,8468;0,8405;6,8565
5,0000;11,0000;0,8243;0,8291;0,8240;6,1822
5,0000;12,0000;0,8274;0,8332;0,8270;6,1987
5,0000;13,0000;0,8350;0,8413;0,8344;5,3653
5,0000;14,0000;0,8298;0,8353;0,8294;5,4397
5,0000;15,0000;0,8236;0,8307;0,8230;5,0952
5,0000;16,0000;0,8220;0,8283;0,8215;4,8744
5,0000;17,0000;0,8253;0,8330;0,8246;4,6648
5,0000;18,0000;0,8180;0,8259;0,8174;4,3779
5,0000;19,0000;0,8194;0,8277;0,8187;4,1118
5,0000;20,0000;0,8226;0,8299;0,8220;4,1513
5,0000;21,0000;0,8232;0,8303;0,8226;3,8745
5,0000;22,0000;0,8116;0,8200;0,8109;3,7182
5,0000;23,0000;0,8200;0,8265;0,8195;3,9462
5,0000;24,0000;0,8118;0,8197;0,8111;3,2969
5,0000;25,0000;0,8091;0,8187;0,8082;3,5792
6,0000;1,0000;0,6550;0,5388;0,6608;24,1174
6,0000;2,0000;0,7980;0,8004;0,7980;26,9777
6,0000;3,0000;0,8320;0,8338;0,8321;19,0734
6,0000;4,0000;0,8422;0,8456;0,8420;15,5477
6,0000;5,0000;0,8390;0,8427;0,8388;13,0548
6,0000;6,0000;0,8460;0,8491;0,8459;10,7513
6,0000;7,0000;0,8412;0,8475;0,8407;9,1188
6,0000;8,0000;0,8511;0,8553;0,8508;8,2001
6,0000;9,0000;0,8450;0,8508;0,8445;7,9177
6,0000;10,0000;0,8434;0,8483;0,8430;7,3618
6,0000;11,0000;0,8420;0,8483;0,8414;6,7146
6,0000;12,0000;0,8342;0,8392;0,8338;6,1611
6,0000;13,0000;0,8393;0,8447;0,8389;5,7405
6,0000;14,0000;0,8371;0,8423;0,8367;5,6945
6,0000;15,0000;0,8341;0,8406;0,8335;4,9687
6,0000;16,0000;0,8348;0,8415;0,8343;5,0478
6,0000;17,0000;0,8358;0,8440;0,8350;4,7295
6,0000;18,0000;0,8332;0,8401;0,8326;4,4246
6,0000;19,0000;0,8372;0,8448;0,8365;4,2744
6,0000;20,0000;0,8304;0,8391;0,8296;3,9408
6,0000;21,0000;0,8253;0,8338;0,8246;3,6812
6,0000;22,0000;0,8236;0,8316;0,8229;3,9743
6,0000;23,0000;0,8246;0,8336;0,8238;3,5059
6,0000;24,0000;0,8266;0,8348;0,8258;3,7086
6,0000;25,0000;0,8245;0,8315;0,8239;3,6792
7,0000;1,0000;0,6507;0,5529;0,6558;24,9133
7,0000;2,0000;0,7766;0,7731;0,7773;28,3908
7,0000;3,0000;0,7980;0,7989;0,7982;21,9940
7,0000;4,0000;0,8368;0,8377;0,8370;15,9754
7,0000;5,0000;0,8301;0,8300;0,8305;14,2684
7,0000;6,0000;0,8312;0,8341;0,8312;11,9937
7,0000;7,0000;0,8323;0,8324;0,8327;10,6386
7,0000;8,0000;0,8389;0,8397;0,8391;8,6297
7,0000;9,0000;0,8307;0,8328;0,8308;8,3209
7,0000;10,0000;0,8401;0,8429;0,8400;7,9978
7,0000;11,0000;0,8355;0,8389;0,8354;6,9431
7,0000;12,0000;0,8388;0,8439;0,8385;6,1766
7,0000;13,0000;0,8297;0,8342;0,8295;6,1496
7,0000;14,0000;0,8270;0,8328;0,8266;5,6199
7,0000;15,0000;0,8309;0,8371;0,8304;5,1568
7,0000;16,0000;0,8240;0,8283;0,8238;4,8621
7,0000;17,0000;0,8342;0,8402;0,8338;4,5771
7,0000;18,0000;0,8329;0,8370;0,8327;4,6843
7,0000;19,0000;0,8232;0,8282;0,8229;4,4556
7,0000;20,0000;0,8220;0,8260;0,8218;4,2232
7,0000;21,0000;0,8191;0,8245;0,8187;3,9210
7,0000;22,0000;0,8229;0,8287;0,8225;3,6969
7,0000;23,0000;0,8219;0,8285;0,8214;3,7325
7,0000;24,0000;0,8251;0,8315;0,8246;3,7731
7,0000;25,0000;0,8286;0,8358;0,8281;3,4720
8,0000;1,0000;0,6991;0,6334;0,7033;25,0038
8,0000;2,0000;0,7953;0,7960;0,7956;26,2543
8,0000;3,0000;0,8320;0,8321;0,8324;21,2788
8,0000;4,0000;0,8421;0,8426;0,8424;16,3898
8,0000;5,0000;0,8418;0,8428;0,8420;14,2303
8,0000;6,0000;0,8454;0,8455;0,8458;12,1189
8,0000;7,0000;0,8457;0,8465;0,8460;9,7041
8,0000;8,0000;0,8520;0,8517;0,8525;8,9631
8,0000;9,0000;0,8559;0,8556;0,8563;7,8995
8,0000;10,0000;0,8554;0,8550;0,8558;7,3543
8,0000;11,0000;0,8523;0,8524;0,8526;6,6207
8,0000;12,0000;0,8491;0,8499;0,8494;6,0702
8,0000;13,0000;0,8431;0,8432;0,8435;5,7350
8,0000;14,0000;0,8485;0,8488;0,8489;5,3978
8,0000;15,0000;0,8474;0,8497;0,8474;5,1356
8,0000;16,0000;0,8489;0,8496;0,8492;4,8069
8,0000;17,0000;0,8440;0,8446;0,8443;4,8738
8,0000;18,0000;0,8441;0,8457;0,8442;4,3841
8,0000;19,0000;0,8460;0,8471;0,8462;4,3028
8,0000;20,0000;0,8388;0,8403;0,8389;3,8942
8,0000;21,0000;0,8477;0,8486;0,8479;4,1070
8,0000;22,0000;0,8449;0,8463;0,8451;3,7281
8,0000;23,0000;0,8418;0,8424;0,8420;3,9161
8,0000;24,0000;0,8352;0,8362;0,8354;3,4415
8,0000;25,0000;0,8355;0,8363;0,8357;3,2313
9,0000;1,0000;0,6501;0,5454;0,6554;25,2036
9,0000;2,0000;0,8117;0,8098;0,8123;26,0794
9,0000;3,0000;0,8324;0,8340;0,8326;21,0107
9,0000;4,0000;0,8554;0,8572;0,8555;16,6435
9,0000;5,0000;0,8724;0,8751;0,8723;13,7794
9,0000;6,0000;0,8757;0,8789;0,8755;11,1185
9,0000;7,0000;0,8751;0,8770;0,8752;9,5960
9,0000;8,0000;0,8699;0,8724;0,8698;9,0002
9,0000;9,0000;0,8644;0,8664;0,8644;8,2989
9,0000;10,0000;0,8656;0,8685;0,8655;7,2175
9,0000;11,0000;0,8599;0,8627;0,8598;6,4615
9,0000;12,0000;0,8580;0,8595;0,8580;6,5417
9,0000;13,0000;0,8593;0,8632;0,8590;5,7860
9,0000;14,0000;0,8544;0,8581;0,8542;5,2673
9,0000;15,0000;0,8543;0,8571;0,8542;5,1986
9,0000;16,0000;0,8443;0,8495;0,8440;5,0090
9,0000;17,0000;0,8432;0,8459;0,8432;4,5274
9,0000;18,0000;0,8411;0,8439;0,8411;4,9442
9,0000;19,0000;0,8483;0,8506;0,8484;4,5592
9,0000;20,0000;0,8499;0,8529;0,8498;4,2145
9,0000;21,0000;0,8469;0,8509;0,8467;3,8456
9,0000;22,0000;0,8437;0,8485;0,8434;3,9201
9,0000;23,0000;0,8426;0,8467;0,8424;3,7213
9,0000;24,0000;0,8339;0,8375;0,8337;3,3762
9,0000;25,0000;0,8443;0,8484;0,8441;3,5958
10,0000;1,0000;0,6796;0,5991;0,6842;26,4110
10,0000;2,0000;0,8401;0,8375;0,8407;27,3956
10,0000;3,0000;0,8642;0,8640;0,8646;21,6008
10,0000;4,0000;0,8690;0,8720;0,8688;15,0413
10,0000;5,0000;0,8769;0,8792;0,8768;13,6728
10,0000;6,0000;0,8587;0,8619;0,8585;10,6472
