knn; number components; acc score; f1 score; roc score; time
2,0000;1,0000;0,5985;0,5833;0,5996;22,5420
2,0000;1,0000;0,5912;0,5520;0,5934;65,5789
2,0000;1,0000;0,5365;0,4730;0,5394;37,7511
2,0000;1,0000;0,5365;0,4816;0,5391;44,7621
2,0000;1,0000;0,6131;0,5923;0,6146;33,0850
2,0000;1,0000;0,5328;0,5115;0,5341;24,0840
2,0000;1,0000;0,5730;0,5375;0,5749;29,2170
2,0000;1,0000;0,5839;0,5476;0,5860;31,6990
3,0000;1,0000;0,5839;0,5512;0,5858;30,6119
3,0000;1,0000;0,5803;0,5965;0,5797;20,9269
3,0000;1,0000;0,6168;0,6182;0,6170;12,0990
3,0000;1,0000;0,5693;0,5597;0,5701;18,6740
3,0000;1,0000;0,6496;0,6571;0,6495;21,6430
3,0000;1,0000;0,5803;0,5660;0,5813;21,5080
3,0000;1,0000;0,5730;0,5483;0,5745;16,4030
3,0000;1,0000;0,5401;0,5154;0,5415;25,1460
3,0000;1,0000;0,5766;0,5766;0,5769;25,9199
3,0000;1,0000;0,5292;0,5204;0,5299;17,6810
3,0000;1,0000;0,5474;0,5634;0,5469;21,6800
3,0000;1,0000;0,5438;0,5247;0,5449;16,2720
3,0000;1,0000;0,5292;0,5343;0,5292;28,4901
3,0000;1,0000;0,5584;0,6059;0,5560;14,7460
3,0000;1,0000;0,6058;0,5714;0,6079;24,6890
3,0000;1,0000;0,5219;0,5130;0,5225;16,2200
3,0000;1,0000;0,6058;0,6115;0,6058;17,1340
3,0000;1,0000;0,5511;0,5654;0,5506;21,0660
3,0000;1,0000;0,6387;0,6877;0,6356;16,7349
3,0000;1,0000;0,6058;0,6029;0,6063;18,8489
3,0000;1,0000;0,5985;0,5703;0,6003;15,1700
3,0000;1,0000;0,5511;0,5773;0,5500;28,0300
3,0000;1,0000;0,5876;0,6007;0,5872;12,4980
3,0000;1,0000;0,5949;0,5904;0,5954;28,2320
3,0000;1,0000;0,5839;0,5870;0,5841;26,2740
3,0000;1,0000;0,5657;0,5182;0,5681;42,2580
3,0000;1,0000;0,6277;0,6554;0,6263;44,3539
3,0000;1,0000;0,5730;0,5618;0,5738;36,2409
3,0000;1,0000;0,5949;0,6022;0,5948;19,4509
3,0000;1,0000;0,6533;0,6643;0,6529;39,8100
3,0000;1,0000;0,5949;0,6105;0,5943;19,6170
3,0000;1,0000;0,5912;0,5942;0,5914;22,0570
3,0000;1,0000;0,5766;0,6234;0,5742;26,3170
3,0000;1,0000;0,5365;0,5058;0,5381;28,0960
3,0000;1,0000;0,5949;0,5779;0,5961;14,2099
3,0000;1,0000;0,6168;0,6367;0,6159;26,5471
3,0000;1,0000;0,6241;0,6360;0,6237;31,0917
3,0000;1,0000;0,5474;0,5753;0,5463;25,2260
3,0000;1,0000;0,5182;0,5182;0,5185;14,7350
3,0000;1,0000;0,5000;0,5193;0,4994;15,6226
3,0000;1,0000;0,6168;0,6125;0,6173;15,8930
3,0000;1,0000;0,5730;0,5923;0,5722;39,8159
3,0000;1,0000;0,5693;0,5662;0,5698;19,7836
3,0000;1,0000;0,6277;0,6434;0,6271;14,0810
3,0000;1,0000;0,5803;0,5455;0,5822;17,3110
3,0000;1,0000;0,5584;0,5328;0,5599;33,2690
3,0000;1,0000;0,5876;0,6169;0,5862;22,3600
3,0000;1,0000;0,5839;0,5746;0,5847;31,6760
3,0000;1,0000;0,5657;0,5735;0,5656;16,1102
3,0000;1,0000;0,6095;0,6421;0,6078;22,6739
4,0000;1,0000;0,6058;0,6301;0,6047;8,0230
4,0000;1,0000;0,6496;0,6596;0,6493;10,0229
4,0000;1,0000;0,5000;0,5125;0,4997;15,5110
4,0000;1,0000;0,5620;0,6000;0,5602;23,7467
4,0000;1,0000;0,5766;0,5972;0,5758;24,5850
4,0000;1,0000;0,6241;0,6171;0,6248;16,3709
4,0000;1,0000;0,5401;0,5500;0,5399;9,5930
4,0000;1,0000;0,5620;0,5833;0,5612;10,2750
4,0000;1,0000;0,5474;0,5338;0,5483;11,6570
4,0000;1,0000;0,5985;0,6127;0,5980;19,4581
4,0000;1,0000;0,5474;0,5782;0,5461;7,4360
4,0000;1,0000;0,6022;0,6093;0,6021;12,8056
4,0000;1,0000;0,5766;0,5672;0,5774;15,3819
4,0000;1,0000;0,5401;0,5655;0,5391;30,5820
4,0000;1,0000;0,5182;0,5286;0,5180;11,1390
4,0000;1,0000;0,5803;0,6075;0,5791;12,0400
4,0000;1,0000;0,6131;0,6395;0,6118;15,7010
4,0000;1,0000;0,5620;0,5620;0,5623;10,7389
4,0000;1,0000;0,5985;0,6181;0,5977;12,1780
4,0000;1,0000;0,5693;0,5959;0,5682;12,6180
4,0000;1,0000;0,6131;0,6395;0,6118;24,9340
4,0000;1,0000;0,5730;0,5618;0,5738;9,6641
4,0000;1,0000;0,5730;0,5979;0,5719;19,9390
4,0000;1,0000;0,6095;0,6219;0,6091;12,3690
4,0000;1,0000;0,6131;0,6319;0,6123;10,0250
4,0000;1,0000;0,5255;0,5290;0,5256;20,0530
4,0000;1,0000;0,5839;0,5778;0,5845;14,7100
4,0000;1,0000;0,6204;0,6364;0,6198;12,8311
4,0000;1,0000;0,5985;0,5956;0,5990;14,3770
4,0000;1,0000;0,5657;0,5882;0,5648;19,4570
4,0000;1,0000;0,5693;0,5786;0,5691;8,4740
4,0000;1,0000;0,5657;0,5673;0,5659;21,2490
4,0000;1,0000;0,5766;0,5857;0,5764;13,5910
4,0000;1,0000;0,5949;0,6105;0,5943;10,8630
4,0000;1,0000;0,5073;0,5659;0,5046;10,1850
4,0000;1,0000;0,5657;0,5370;0,5673;33,0293
4,0000;1,0000;0,6058;0,6400;0,6041;7,6380
4,0000;1,0000;0,5985;0,5833;0,5996;21,2590
4,0000;1,0000;0,6058;0,6400;0,6041;11,7380
4,0000;1,0000;0,5474;0,5694;0,5466;23,1447
4,0000;1,0000;0,5401;0,5655;0,5391;10,1440
4,0000;1,0000;0,6460;0,6712;0,6446;13,2980
4,0000;1,0000;0,5985;0,5926;0,5991;19,8430
4,0000;1,0000;0,5730;0,5651;0,5737;27,3090
4,0000;1,0000;0,6204;0,5969;0,6220;15,0520
4,0000;1,0000;0,5730;0,5866;0,5725;23,6230
4,0000;1,0000;0,5730;0,5714;0,5733;15,4820
4,0000;1,0000;0,5401;0,5500;0,5399;16,5110
4,0000;1,0000;0,5182;0,5352;0,5177;21,2731
4,0000;1,0000;0,5657;0,5993;0,5641;17,7989
5,0000;1,0000;0,5912;0,6190;0,5899;8,7122
5,0000;1,0000;0,5657;0,5735;0,5656;10,9250
5,0000;1,0000;0,5766;0,6000;0,5756;7,3950
5,0000;1,0000;0,5292;0,5536;0,5283;12,2201
5,0000;1,0000;0,5219;0,5371;0,5214;11,8790
5,0000;1,0000;0,5766;0,5766;0,5769;10,5670
5,0000;1,0000;0,5584;0,5980;0,5565;24,1290
5,0000;1,0000;0,5803;0,5993;0,5795;22,4430
5,0000;1,0000;0,5766;0,5827;0,5766;10,3780
5,0000;1,0000;0,6204;0,6486;0,6190;16,7540
5,0000;1,0000;0,6095;0,5900;0,6108;9,9180
5,0000;1,0000;0,6058;0,6327;0,6045;12,8940
5,0000;1,0000;0,5474;0,5079;0,5495;22,0770
5,0000;1,0000;0,5657;0,5795;0,5652;30,6019
5,0000;1,0000;0,5730;0,5895;0,5724;10,2640
5,0000;1,0000;0,5547;0,5643;0,5545;8,8281
5,0000;1,0000;0,5438;0,5318;0,5446;19,0180
5,0000;1,0000;0,5511;0,5914;0,5492;12,9401
5,0000;1,0000;0,5730;0,5745;0,5732;11,7448
5,0000;1,0000;0,5876;0,5950;0,5875;8,8510
5,0000;1,0000;0,4891;0,5000;0,4888;7,4812
5,0000;1,0000;0,5620;0,5588;0,5625;9,5920
5,0000;1,0000;0,5693;0,5903;0,5685;14,2590
5,0000;1,0000;0,5365;0,5448;0,5364;10,1560
5,0000;1,0000;0,5401;0,5828;0,5382;29,9350
5,0000;1,0000;0,5912;0,6216;0,5898;7,5340
5,0000;1,0000;0,5766;0,5639;0,5776;16,0690
5,0000;1,0000;0,5912;0,6242;0,5896;9,0811
5,0000;1,0000;0,5803;0,5818;0,5805;8,2620
5,0000;1,0000;0,6022;0,6121;0,6019;13,2550
5,0000;1,0000;0,5912;0,6084;0,5906;9,5190
5,0000;1,0000;0,5730;0,5836;0,5727;13,0341
5,0000;1,0000;0,5876;0,5799;0,5883;7,2890
5,0000;1,0000;0,5693;0,5816;0,5690;12,4630
5,0000;1,0000;0,6022;0,6007;0,6026;6,1605
5,0000;1,0000;0,5803;0,5907;0,5800;16,0974
5,0000;1,0000;0,5620;0,5455;0,5631;7,8811
5,0000;1,0000;0,5693;0,5931;0,5683;13,3147
5,0000;1,0000;0,5912;0,5789;0,5922;6,0000
5,0000;1,0000;0,5985;0,6043;0,5985;12,5363
